Reduced_Cost,y_lp,t
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
870.706405,0.0,0.0
-1580.839375,1.0,1.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,0.0,0.0
0.0,-0.0,-0.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,-0.0,-0.0
4996.131737,0.0,0.0
3480.874483,0.0,0.0
0.0,1.0,1.0
0.0,0.0,0.0
4046.313792,0.0,0.0
0.0,0.0,0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,0.0,0.0
1434.218739,0.0,0.0
0.0,0.0,0.0
2555.165895,0.0,0.0
4000.061198,0.0,0.0
0.0,1.0,1.0
0.0,0.0,0.0
3902.447724,0.0,0.0
2762.346902,0.0,0.0
4343.246167,0.0,0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,0.0,0.0
0.0,-0.0,-0.0
1648.448522,0.0,0.0
213.748225,0.0,0.0
0.0,1.0,1.0
770.693261,0.0,0.0
0.0,-0.0,-0.0
234.979749,0.0,0.0
1483.361701,0.0,0.0
-0.194141,1.0,1.0
1352.308444,0.0,0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
1798.339314,0.0,0.0
0.0,-0.0,-0.0
0.0,1.0,1.0
4402.174686,0.0,0.0
0.0,1.0,1.0
2447.704287,0.0,0.0
0.0,-0.0,-0.0
0.0,1.0,1.0
0.0,-0.0,-0.0
0.0,1.0,1.0
